Small dictionary from THU, with frequency data.
残缺不全,FREQ:1339;
引经据典,FREQ:1338;
见不得人,FREQ:1337;
花花公子,FREQ:1337;
饮鸩止渴,FREQ:1337;
滥竽充数,FREQ:1336;
有名无实,FREQ:1336;
五谷丰登,FREQ:1336;
荣辱与共,FREQ:1335;
若有所思,FREQ:1335;
号啕大哭,FREQ:1334;
坐而论道,FREQ:1334;
真才实学,FREQ:1333;
无足轻重,FREQ:1332;
雅俗共赏,FREQ:1331;
拥政爱民,FREQ:1331;
泪如雨下,FREQ:1331;
怒气冲冲,FREQ:1331;
独到之处,FREQ:1330;
下不为例,FREQ:1329;
任人唯贤,FREQ:1329;
左右逢源,FREQ:1328;
如获至宝,FREQ:1328;
论资排辈,FREQ:1322;
无伤大雅,FREQ:1322;
泥沙俱下,FREQ:1322;
感天动地,FREQ:1322;
欲言又止,FREQ:1321;
事不关己,FREQ:1321;
精美绝伦,FREQ:1320;
衣衫褴褛,FREQ:1318;
一扫而空,FREQ:1318;
排山倒海,FREQ:1317;
九牛一毛,FREQ:1317;
灰飞烟灭,FREQ:1314;
一团和气,FREQ:1314;
推心置腹,FREQ:1313;
鬼斧神工,FREQ:1310;
永垂不朽,FREQ:1309;
无穷无尽,FREQ:1309;
墨守成规,FREQ:1308;
惊弓之鸟,FREQ:1308;
波涛汹涌,FREQ:1307;
孤注一掷,FREQ:1306;
血流如注,FREQ:1305;
毛遂自荐,FREQ:1304;
大动干戈,FREQ:1303;
水乳交融,FREQ:1303;
繁花似锦,FREQ:1301;
人浮于事,FREQ:1301;
开天辟地,FREQ:1301;
不成方圆,FREQ:1300;
柳暗花明,FREQ:1298;
饥肠辘辘,FREQ:1298;
手下留情,FREQ:1297;
谨小慎微,FREQ:1295;
过犹不及,FREQ:1294;
大肆宣传,FREQ:1294;
蝇头小利,FREQ:1293;
口耳相传,FREQ:1293;
众口难调,FREQ:1292;
晕头转向,FREQ:1292;
走南闯北,FREQ:1290;
不可理喻,FREQ:1290;
殊途同归,FREQ:1287;
窃窃私语,FREQ:1285;
其貌不扬,FREQ:1284;
求贤若渴,FREQ:1284;
蜂拥而上,FREQ:1282;
获益匪浅,FREQ:1280;
摇旗呐喊,FREQ:1279;
各有所长,FREQ:1278;
人情世故,FREQ:1278;
半身不遂,FREQ:1277;
秘而不宣,FREQ:1276;
借题发挥,FREQ:1275;
朝令夕改,FREQ:1273;
改弦更张,FREQ:1270;
怨天尤人,FREQ:1270;
循规蹈矩,FREQ:1269;
家家户户,FREQ:1268;
当头一棒,FREQ:1268;
哄堂大笑,FREQ:1268;
传宗接代,FREQ:1267;
完美无缺,FREQ:1267;
金榜题名,FREQ:1266;
黯然失色,FREQ:1264;
救亡图存,FREQ:1263;
虚张声势,FREQ:1263;
博采众长,FREQ:1262;
招摇过市,FREQ:1262;
大而化之,FREQ:1262;
事倍功半,FREQ:1261;
不可收拾,FREQ:1258;
心灵手巧,FREQ:1258;
愚公移山,FREQ:1256;
水深火热,FREQ:1256;
一扫而光,FREQ:1255;
无依无靠,FREQ:1255;
花甲之年,FREQ:1254;
一念之差,FREQ:1254;
抛头露面,FREQ:1254;
打退堂鼓,FREQ:1253;
以牙还牙,FREQ:1251;
两手空空,FREQ:1251;
刚正不阿,FREQ:1251;
哑口无言,FREQ:1249;
宾至如归,FREQ:1247;
忙里偷闲,FREQ:1246;
发人深思,FREQ:1244;
无所不包,FREQ:1244;
一臂之力,FREQ:1242;
裹足不前,FREQ:1240;
百事可乐,FREQ:1238;
知难而退,FREQ:1238;
神情恍惚,FREQ:1237;
三言两语,FREQ:1237;
心不在焉,FREQ:1235;
隔靴搔痒,FREQ:1234;
昭然若揭,FREQ:1233;
肺腑之言,FREQ:1232;
惺惺相惜,FREQ:1230;
从容不迫,FREQ:1230;
铁面无私,FREQ:1229;
悲欢离合,FREQ:1228;
山珍海味,FREQ:1228;
孤军奋战,FREQ:1227;
深山老林,FREQ:1227;
东奔西跑,FREQ:1225;
文质彬彬,FREQ:1225;
顶礼膜拜,FREQ:1224;
一丝不挂,FREQ:1224;
头疼脑热,FREQ:1220;
天下为公,FREQ:1219;
里应外合,FREQ:1219;
一见如故,FREQ:1219;
路见不平,FREQ:1217;
大发雷霆,FREQ:1215;
狼吞虎咽,FREQ:1214;
执迷不悟,FREQ:1213;
待人接物,FREQ:1212;
洗心革面,FREQ:1209;
同病相怜,FREQ:1208;
不治之症,FREQ:1207;
神采飞扬,FREQ:1207;
衣食父母,FREQ:1206;
舍我其谁,FREQ:1206;
言过其实,FREQ:1204;
低级趣味,FREQ:1202;
烂熟于心,FREQ:1201;
势如破竹,FREQ:1201;
反目成仇,FREQ:1198;
知己知彼,FREQ:1198;
咬牙切齿,FREQ:1197;
以理服人,FREQ:1196;
大惊失色,FREQ:1195;
纷纷扬扬,FREQ:1195;
万马奔腾,FREQ:1194;
赤手空拳,FREQ:1192;
生死关头,FREQ:1192;
韬光养晦,FREQ:1192;
意气用事,FREQ:1192;
废寝忘食,FREQ:1190;
身经百战,FREQ:1188;
分内之事,FREQ:1188;
点睛之笔,FREQ:1185;
满口答应,FREQ:1185;
怒火中烧,FREQ:1185;
素未谋面,FREQ:1185;
风声鹤唳,FREQ:1184;
自立门户,FREQ:1183;
光彩夺目,FREQ:1183;
病入膏肓,FREQ:1182;
满不在乎,FREQ:1182;
愁眉苦脸,FREQ:1181;
百里挑一,FREQ:1181;
有利有弊,FREQ:1180;
一览无遗,FREQ:1180;
多多益善,FREQ:1180;
昏昏沉沉,FREQ:1180;
好大喜功,FREQ:1179;
妻离子散,FREQ:1178;
巧夺天工,FREQ:1178;
守口如瓶,FREQ:1177;
如坐针毡,FREQ:1177;
循循善诱,FREQ:1176;
张冠李戴,FREQ:1176;
无声无息,FREQ:1175;
患得患失,FREQ:1175;
政出多门,FREQ:1173;
悠然自得,FREQ:1173;
自作聪明,FREQ:1172;
受宠若惊,FREQ:1172;
唇齿相依,FREQ:1171;
娇生惯养,FREQ:1170;
平淡无奇,FREQ:1169;
八仙过海,FREQ:1168;
五光十色,FREQ:1167;
与世长辞,FREQ:1165;
正襟危坐,FREQ:1165;
尽人皆知,FREQ:1165;
繁文缛节,FREQ:1164;
吹毛求疵,FREQ:1160;
暗度陈仓,FREQ:1159;
克己奉公,FREQ:1157;
遮天蔽日,FREQ:1156;
大千世界,FREQ:1155;
倒行逆施,FREQ:1155;
因循守旧,FREQ:1154;
一面之词,FREQ:1154;
滴水不漏,FREQ:1154;
暴涨暴跌,FREQ:1153;
非此即彼,FREQ:1151;
万人空巷,FREQ:1150;
兼收并蓄,FREQ:1148;
不同凡响,FREQ:1148;
生死攸关,FREQ:1147;
垂涎欲滴,FREQ:1146;
瞻前顾后,FREQ:1146;
推而广之,FREQ:1146;
自投罗网,FREQ:1145;
高风亮节,FREQ:1143;
扶摇直上,FREQ:1143;
平分秋色,FREQ:1141;
一诺千金,FREQ:1140;
自行其是,FREQ:1139;
顾虑重重,FREQ:1139;
窗明几净,FREQ:1137;
开源节流,FREQ:1137;
唉声叹气,FREQ:1136;
量入为出,FREQ:1136;
随行就市,FREQ:1135;
一飞冲天,FREQ:1133;
因小失大,FREQ:1131;
落叶归根,FREQ:1130;
分秒必争,FREQ:1130;
面面相觑,FREQ:1130;
屡战屡败,FREQ:1130;
深更半夜,FREQ:1129;
坐以待毙,FREQ:1129;
视若无睹,FREQ:1127;
巍然屹立,FREQ:1125;
节节败退,FREQ:1124;
鼓足干劲,FREQ:1124;
鸦雀无声,FREQ:1123;
亭亭玉立,FREQ:1123;
以小见大,FREQ:1122;
焦躁不安,FREQ:1122;
去伪存真,FREQ:1122;
短兵相接,FREQ:1121;
琴棋书画,FREQ:1121;
兴师动众,FREQ:1121;
千夫所指,FREQ:1121;
风云突变,FREQ:1119;
如饥似渴,FREQ:1117;
有气无力,FREQ:1116;
广开言路,FREQ:1116;
威风凛凛,FREQ:1115;
露出马脚,FREQ:1113;
百年之后,FREQ:1112;
四脚朝天,FREQ:1111;
见利忘义,FREQ:1110;
捧腹大笑,FREQ:1110;
不胜其烦,FREQ:1108;
出生入死,FREQ:1107;
休戚相关,FREQ:1106;
各就各位,FREQ:1106;
炉火纯青,FREQ:1104;
浅尝辄止,FREQ:1104;
身强力壮,FREQ:1103;
五脏六腑,FREQ:1102;
贪官污吏,FREQ:1101;
破釜沉舟,FREQ:1100;
好逸恶劳,FREQ:1099;
罪有应得,FREQ:1099;
年轻力壮,FREQ:1098;
三十而立,FREQ:1098;
举棋不定,FREQ:1096;
郁郁寡欢,FREQ:1096;
纠缠不清,FREQ:1096;
吞云吐雾,FREQ:1095;
明哲保身,FREQ:1094;
抛砖引玉,FREQ:1094;
双喜临门,FREQ:1090;
大红大紫,FREQ:1090;
历久弥坚,FREQ:1090;
有苦难言,FREQ:1090;
望眼欲穿,FREQ:1089;
捷足先登,FREQ:1089;
出于无奈,FREQ:1088;
鞭长莫及,FREQ:1087;
平心静气,FREQ:1085;
含苞待放,FREQ:1084;
如梦初醒,FREQ:1084;
谢天谢地,FREQ:1082;
称兄道弟,FREQ:1082;
马到成功,FREQ:1082;
骨瘦如柴,FREQ:1081;
辗转反侧,FREQ:1081;
千锤百炼,FREQ:1081;
春寒料峭,FREQ:1081;
归心似箭,FREQ:1080;
痛改前非,FREQ:1079;
四面楚歌,FREQ:1078;
生离死别,FREQ:1077;
良师益友,FREQ:1076;
己所不欲,FREQ:1075;
后继无人,FREQ:1075;
蓬头垢面,FREQ:1074;
土崩瓦解,FREQ:1074;
鼎力相助,FREQ:1073;
在所不惜,FREQ:1073;
化为泡影,FREQ:1073;
上下一心,FREQ:1073;
杀人灭口,FREQ:1072;
不苟言笑,FREQ:1071;
垂头丧气,FREQ:1071;
眼疾手快,FREQ:1071;
勿施于人,FREQ:1070;
海市蜃楼,FREQ:1068;
好高骛远,FREQ:1067;
一笑了之,FREQ:1066;
气壮山河,FREQ:1064;
非同小可,FREQ:1063;
笑逐颜开,FREQ:1063;
为非作歹,FREQ:1063;
言犹在耳,FREQ:1062;
高谈阔论,FREQ:1061;
素昧平生,FREQ:1058;
由浅入深,FREQ:1058;
讳疾忌医,FREQ:1058;
知易行难,FREQ:1058;
信口开河,FREQ:1056;
十字路口,FREQ:1056;
旗鼓相当,FREQ:1055;
装聋作哑,FREQ:1054;
分庭抗礼,FREQ:1053;
门当户对,FREQ:1053;
劈头盖脸,FREQ:1053;
独具一格,FREQ:1052;
无价之宝,FREQ:1052;
忍辱负重,FREQ:1051;
政通人和,FREQ:1051;
唾手可得,FREQ:1050;
乔装打扮,FREQ:1049;
峥嵘岁月,FREQ:1049;
天网恢恢,FREQ:1048;
高山流水,FREQ:1046;
言听计从,FREQ:1045;
难以挽回,FREQ:1045;
非比寻常,FREQ:1045;
不声不响,FREQ:1044;
春光明媚,FREQ:1043;
自私自利,FREQ:1042;
付诸东流,FREQ:1042;
心烦意乱,FREQ:1041;
快人快语,FREQ:1041;
画龙点睛,FREQ:1040;
胡思乱想,FREQ:1040;
歪门邪道,FREQ:1039;
引火烧身,FREQ:1037;
竭泽而渔,FREQ:1037;
弱肉强食,FREQ:1037;
寸草不生,FREQ:1036;
明争暗斗,FREQ:1036;
私相授受,FREQ:1035;
堂堂正正,FREQ:1034;
治国安邦,FREQ:1033;
同流合污,FREQ:1033;
畅行无阻,FREQ:1032;
立足之地,FREQ:1030;
凶多吉少,FREQ:1030;
一文不值,FREQ:1030;
逐字逐句,FREQ:1029;
万象更新,FREQ:1028;
费尽心机,FREQ:1028;
铩羽而归,FREQ:1027;
不足为怪,FREQ:1027;
从中渔利,FREQ:1027;
微言大义,FREQ:1025;
眉飞色舞,FREQ:1025;
做贼心虚,FREQ:1023;
连绵不断,FREQ:1023;
匹夫有责,FREQ:1022;
重于泰山,FREQ:1022;
视死如归,FREQ:1022;
不怀好意,FREQ:1021;
入木三分,FREQ:1019;
忘乎所以,FREQ:1019;
扫地出门,FREQ:1017;
老调重弹,FREQ:1015;
授业解惑,FREQ:1014;
一股脑儿,FREQ:1014;
多事之秋,FREQ:1013;
短小精悍,FREQ:1013;
碌碌无为,FREQ:1013;
痴人说梦,FREQ:1012;
擅离职守,FREQ:1012;
无关痛痒,FREQ:1012;
劫后余生,FREQ:1012;
抑扬顿挫,FREQ:1011;
不可限量,FREQ:1010;
掌上明珠,FREQ:1010;
大处着眼,FREQ:1009;
岿然不动,FREQ:1009;
水漫金山,FREQ:1009;
牵肠挂肚,FREQ:1008;
登峰造极,FREQ:1007;
度日如年,FREQ:1006;
浩如烟海,FREQ:1005;
大公无私,FREQ:1005;
别有洞天,FREQ:1004;
变化多端,FREQ:1003;
霸王别姬,FREQ:1002;
字正腔圆,FREQ:1001;
天旋地转,FREQ:1000;
后事之师,FREQ:999;
防患未然,FREQ:998;
九死一生,FREQ:998;
惊世骇俗,FREQ:998;
放下包袱,FREQ:997;
药到病除,FREQ:997;
曲径通幽,FREQ:996;
半路出家,FREQ:996;
芸芸众生,FREQ:995;
反复推敲,FREQ:995;
生龙活虎,FREQ:994;
登堂入室,FREQ:993;
一马平川,FREQ:993;
踉踉跄跄,FREQ:992;
民办公助,FREQ:992;
大难不死,FREQ:991;
一本万利,FREQ:991;
心悦诚服,FREQ:991;
人间天堂,FREQ:990;
野心勃勃,FREQ:988;
斗志昂扬,FREQ:987;
假公济私,FREQ:987;
一饮而尽,FREQ:986;
春华秋实,FREQ:986;
后患无穷,FREQ:986;
独来独往,FREQ:986;
不可偏废,FREQ:986;
阳春白雪,FREQ:985;
旁征博引,FREQ:985;
一年半载,FREQ:984;
饥寒交迫,FREQ:983;
欺上瞒下,FREQ:983;
骑虎难下,FREQ:983;
装模作样,FREQ:983;
举目无亲,FREQ:983;
挥金如土,FREQ:981;
畏首畏尾,FREQ:980;
无地自容,FREQ:980;
投桃报李,FREQ:980;
原形毕露,FREQ:979;
眼高手低,FREQ:979;
断壁残垣,FREQ:979;
天之骄子,FREQ:978;
欲盖弥彰,FREQ:977;
栋梁之才,FREQ:976;
肆意妄为,FREQ:976;
强词夺理,FREQ:975;
仁者见仁,FREQ:975;
不二法门,FREQ:975;
损人利己,FREQ:974;
厚此薄彼,FREQ:974;
内外交困,FREQ:974;
以邻为壑,FREQ:972;
郑重其事,FREQ:972;
生存技能,FREQ:969;
光怪陆离,FREQ:968;
恶意中伤,FREQ:967;
天上人间,FREQ:967;
精诚团结,FREQ:966;
夙夜在公,FREQ:965;
盗墓笔记,FREQ:965;
访贫问苦,FREQ:963;
有生力量,FREQ:963;
过目不忘,FREQ:962;
喧宾夺主,FREQ:961;
病从口入,FREQ:961;
懵懵懂懂,FREQ:961;
旧病复发,FREQ:958;
深谋远虑,FREQ:958;
花好月圆,FREQ:957;
不知所云,FREQ:957;
交头接耳,FREQ:956;
出神入化,FREQ:953;
强加于人,FREQ:953;
春风得意,FREQ:953;
颐指气使,FREQ:953;
陈词滥调,FREQ:952;
东奔西走,FREQ:952;
穷困潦倒,FREQ:951;
不可一世,FREQ:951;
神乎其神,FREQ:951;
抚今追昔,FREQ:950;
长袖善舞,FREQ:948;
表里如一,FREQ:947;
寅吃卯粮,FREQ:947;
例行公事,FREQ:946;
寒冬腊月,FREQ:946;
刨根问底,FREQ:945;
自得其乐,FREQ:944;
捏一把汗,FREQ:944;
六神无主,FREQ:943;
躲躲闪闪,FREQ:943;
半夜三更,FREQ:942;
冷眼旁观,FREQ:941;
勃然大怒,FREQ:941;
先声夺人,FREQ:941;
人多势众,FREQ:941;
天长地久,FREQ:940;
先斩后奏,FREQ:940;
力排众议,FREQ:939;
穷途末路,FREQ:936;
机不可失,FREQ:935;
听天由命,FREQ:934;
戒骄戒躁,FREQ:933;
得寸进尺,FREQ:932;
草木皆兵,FREQ:931;
养老送终,FREQ:930;
众口一词,FREQ:930;
从长计议,FREQ:929;
得意之作,FREQ:929;
前事不忘,FREQ:928;
说一不二,FREQ:927;
回天乏术,FREQ:926;
头晕眼花,FREQ:925;
地大物博,FREQ:924;
慎终追远,FREQ:923;
笑容可掬,FREQ:922;
功德无量,FREQ:922;
虚无缥缈,FREQ:922;
官官相护,FREQ:921;
四平八稳,FREQ:921;
有生以来,FREQ:920;
善罢甘休,FREQ:920;
开疆拓土,FREQ:919;
有则改之,FREQ:917;
金蝉脱壳,FREQ:917;
大言不惭,FREQ:916;
天真烂漫,FREQ:915;
山穷水尽,FREQ:915;
软弱无力,FREQ:915;
丰衣足食,FREQ:914;
荒无人烟,FREQ:914;
概莫能外,FREQ:913;
爱莫能助,FREQ:913;
忧国忧民,FREQ:912;
咄咄怪事,FREQ:911;
璀璨夺目,FREQ:911;
暴风骤雨,FREQ:911;
说来说去,FREQ:910;
感激不尽,FREQ:910;
血雨腥风,FREQ:909;
始作俑者,FREQ:909;
张牙舞爪,FREQ:906;
丧尽天良,FREQ:906;
望闻问切,FREQ:906;
夏日炎炎,FREQ:905;
自不待言,FREQ:905;
崇洋媚外,FREQ:905;
升官发财,FREQ:903;
平白无故,FREQ:901;
兼容并包,FREQ:901;
心神不宁,FREQ:900;
不冷不热,FREQ:900;
勉为其难,FREQ:899;
日夜兼程,FREQ:899;
连篇累牍,FREQ:897;
纵横捭阖,FREQ:897;
扶正祛邪,FREQ:897;
舍本逐末,FREQ:896;
贪得无厌,FREQ:896;
深居简出,FREQ:896;
浑浑噩噩,FREQ:895;
另眼相看,FREQ:894;
酩酊大醉,FREQ:893;
沽名钓誉,FREQ:893;
反复无常,FREQ:893;
鹤立鸡群,FREQ:890;
求之不得,FREQ:890;
当头棒喝,FREQ:887;
比翼齐飞,FREQ:887;
飞黄腾达,FREQ:886;
百尺竿头,FREQ:885;
惶恐不安,FREQ:884;
知难而进,FREQ:884;
口出狂言,FREQ:883;
杀鸡取卵,FREQ:881;
蜂拥而来,FREQ:881;
哭哭啼啼,FREQ:881;
盛极一时,FREQ:881;
误打误撞,FREQ:881;
婀娜多姿,FREQ:881;
气定神闲,FREQ:880;
死去活来,FREQ:879;
经年累月,FREQ:879;
齐心合力,FREQ:878;
合纵连横,FREQ:878;
耳闻目睹,FREQ:878;
驰名中外,FREQ:877;
嫌贫爱富,FREQ:877;
宁缺毋滥,FREQ:877;
心向往之,FREQ:876;
心事重重,FREQ:875;
付之东流,FREQ:875;
恨之入骨,FREQ:875;
弱不禁风,FREQ:874;
悔不当初,FREQ:873;
高朋满座,FREQ:873;
老无所依,FREQ:873;
身怀六甲,FREQ:873;
知足常乐,FREQ:872;
睡眼惺忪,FREQ:872;
古为今用,FREQ:872;
鼻青脸肿,FREQ:872;
言行不一,FREQ:870;
绿草如茵,FREQ:870;
摇头晃脑,FREQ:869;
崎岖不平,FREQ:869;
各个击破,FREQ:868;
长篇大论,FREQ:867;
落井下石,FREQ:865;
步步高升,FREQ:864;
各行其是,FREQ:864;
顺水推舟,FREQ:864;
匠心独运,FREQ:862;
乱作一团,FREQ:861;
从头至尾,FREQ:861;
左思右想,FREQ:860;
点石成金,FREQ:860;
群龙无首,FREQ:859;
近亲繁殖,FREQ:859;
命中注定,FREQ:858;
风花雪月,FREQ:858;
一败涂地,FREQ:858;
混淆是非,FREQ:857;
雍容华贵,FREQ:856;
刀光剑影,FREQ:855;
死于非命,FREQ:855;
大雨滂沱,FREQ:855;
无以复加,FREQ:855;
百无聊赖,FREQ:855;
改名换姓,FREQ:854;
精疲力尽,FREQ:853;
夸夸其谈,FREQ:853;
大权在握,FREQ:852;
一线生机,FREQ:850;
正大光明,FREQ:850;
长驱直入,FREQ:849;
怡然自得,FREQ:849;
利令智昏,FREQ:848;
垂涎三尺,FREQ:848;
节外生枝,FREQ:847;
情投意合,FREQ:847;
黯然神伤,FREQ:847;
显山露水,FREQ:846;
龙凤呈祥,FREQ:846;
衣锦还乡,FREQ:845;
政教合一,FREQ:844;
兵戎相见,FREQ:844;
上传下达,FREQ:844;
吹拉弹唱,FREQ:844;
深仇大恨,FREQ:844;
声名狼藉,FREQ:843;
财务主管,FREQ:843;
严丝合缝,FREQ:843;
仗义执言,FREQ:842;
依然如故,FREQ:841;
血气方刚,FREQ:840;
对答如流,FREQ:840;
勤学苦练,FREQ:840;
来去自由,FREQ:840;
雕梁画栋,FREQ:839;
妇孺皆知,FREQ:838;
举重若轻,FREQ:836;
知无不言,FREQ:836;
待价而沽,FREQ:835;
言之有物,FREQ:835;
义正词严,FREQ:835;
迷途知返,FREQ:834;
变化无常,FREQ:834;
大喝一声,FREQ:833;
高耸入云,FREQ:833;
一呼百应,FREQ:832;
逢山开路,FREQ:832;
退避三舍,FREQ:831;
人文荟萃,FREQ:830;
苦中作乐,FREQ:829;
从善如流,FREQ:828;
卧薪尝胆,FREQ:828;
生搬硬套,FREQ:828;
非亲非故,FREQ:827;
昂首挺胸,FREQ:826;
鬼使神差,FREQ:824;
叫苦连天,FREQ:823;
大势已去,FREQ:823;
无奇不有,FREQ:822;
百年树人,FREQ:821;
戮力同心,FREQ:821;
开国元勋,FREQ:820;
不卑不亢,FREQ:820;
流言蜚语,FREQ:820;
委曲求全,FREQ:819;
心想事成,FREQ:818;
选贤任能,FREQ:818;
居心叵测,FREQ:818;
年近花甲,FREQ:818;
有志之士,FREQ:816;
小恩小惠,FREQ:816;
挑拨离间,FREQ:816;
别具匠心,FREQ:816;
慢条斯理,FREQ:816;
革故鼎新,FREQ:815;
谆谆教导,FREQ:815;
罪大恶极,FREQ:815;
万念俱灰,FREQ:814;
装点门面,FREQ:814;
坐享其成,FREQ:813;
平步青云,FREQ:812;
音容笑貌,FREQ:810;
诚惶诚恐,FREQ:810;
达官贵人,FREQ:807;
奇形怪状,FREQ:805;
畸形发展,FREQ:805;
黑灯瞎火,FREQ:805;
打得火热,FREQ:804;
秋后算账,FREQ:804;
狼狈不堪,FREQ:804;
披星戴月,FREQ:803;
街坊邻里,FREQ:802;
民不聊生,FREQ:802;
依依惜别,FREQ:800;
相见恨晚,FREQ:799;
贼喊捉贼,FREQ:798;
一日千里,FREQ:798;
促膝谈心,FREQ:797;
花天酒地,FREQ:796;
寡不敌众,FREQ:796;
杀一儆百,FREQ:794;
近水楼台,FREQ:793;
深入骨髓,FREQ:793;
一板一眼,FREQ:793;
目无法纪,FREQ:793;
望其项背,FREQ:793;
为非作恶,FREQ:792;
唯我独尊,FREQ:790;
反躬自省,FREQ:789;
评头论足,FREQ:789;
重整旗鼓,FREQ:788;
物是人非,FREQ:788;
草长莺飞,FREQ:788;
奋笔疾书,FREQ:787;
体无完肤,FREQ:787;
大放厥词,FREQ:787;
刚柔相济,FREQ:786;
万紫千红,FREQ:786;
惹人注目,FREQ:784;
弹丸之地,FREQ:782;
心驰神往,FREQ:782;
体贴入微,FREQ:781;
毁誉参半,FREQ:781;
心浮气躁,FREQ:781;
好说歹说,FREQ:780;
深得人心,FREQ:780;
前途无量,FREQ:780;
一笔勾销,FREQ:780;
日出而作,FREQ:779;
劫富济贫,FREQ:778;
察言观色,FREQ:778;
令人神往,FREQ:778;
鼓鼓囊囊,FREQ:777;
不毛之地,FREQ:777;
将错就错,FREQ:776;
魂牵梦萦,FREQ:776;
拿手好戏,FREQ:775;
冰冻三尺,FREQ:775;
自知之明,FREQ:774;
字斟句酌,FREQ:773;
嬉笑怒骂,FREQ:773;
一箭双雕,FREQ:773;
群雄逐鹿,FREQ:772;
为期不远,FREQ:772;
一波未平,FREQ:771;
急不可耐,FREQ:771;
飘忽不定,FREQ:770;
高歌猛进,FREQ:769;
不辞劳苦,FREQ:769;
活色生香,FREQ:768;
同日而语,FREQ:768;
硕果仅存,FREQ:768;
饱经沧桑,FREQ:768;
倒背如流,FREQ:767;
勾心斗角,FREQ:767;
油盐酱醋,FREQ:767;
英雄本色,FREQ:765;
包打天下,FREQ:765;
和风细雨,FREQ:765;
以防不测,FREQ:765;
年近古稀,FREQ:765;
夺门而出,FREQ:764;
一见倾心,FREQ:763;
不着边际,FREQ:763;
兼济天下,FREQ:763;
出乎预料,FREQ:761;
满面笑容,FREQ:761;
炯炯有神,FREQ:761;
虚位以待,FREQ:760;
养尊处优,FREQ:759;
徒劳无功,FREQ:759;
闻风丧胆,FREQ:758;
耀武扬威,FREQ:757;
贪污腐化,FREQ:757;
故弄玄虚,FREQ:757;
兼而有之,FREQ:756;
上下其手,FREQ:756;
一面之缘,FREQ:756;
镜花水月,FREQ:756;
事在人为,FREQ:755;
麻雀虽小,FREQ:755;
十万火急,FREQ:755;
聪明伶俐,FREQ:755;
聚沙成塔,FREQ:754;
投机钻营,FREQ:754;
深不可测,FREQ:754;
牢骚满腹,FREQ:754;
清水衙门,FREQ:754;
心花怒放,FREQ:754;
尸位素餐,FREQ:753;
七手八脚,FREQ:753;
财源滚滚,FREQ:753;
添油加醋,FREQ:753;
巧取豪夺,FREQ:753;
开路先锋,FREQ:751;
雷电交加,FREQ:751;
珠联璧合,FREQ:750;
坐吃山空,FREQ:750;
口若悬河,FREQ:750;
风度翩翩,FREQ:750;
一哄而散,FREQ:749;
如鲠在喉,FREQ:748;
出奇制胜,FREQ:746;
大义凛然,FREQ:746;
一唱一和,FREQ:746;
逆来顺受,FREQ:745;
小巧玲珑,FREQ:745;
暴跳如雷,FREQ:745;
云淡风轻,FREQ:744;
曲高和寡,FREQ:744;
传经送宝,FREQ:744;
改弦易辙,FREQ:743;
牵强附会,FREQ:742;
振兴中华,FREQ:742;
从轻发落,FREQ:741;
满腔热忱,FREQ:741;
消极怠工,FREQ:740;
气焰嚣张,FREQ:740;
先知先觉,FREQ:740;
不能自主,FREQ:740;
飞檐走壁,FREQ:739;
易如反掌,FREQ:738;
一笑置之,FREQ:738;
展翅高飞,FREQ:738;
马首是瞻,FREQ:738;
强国富民,FREQ:738;
连绵不绝,FREQ:737;
惨淡经营,FREQ:737;
连绵起伏,FREQ:737;
严刑峻法,FREQ:737;
人所共知,FREQ:737;
一五一十,FREQ:735;
路人皆知,FREQ:735;
咬文嚼字,FREQ:733;
触景生情,FREQ:733;
抱残守缺,FREQ:731;
十年树木,FREQ:731;
桀骜不驯,FREQ:730;
万劫不复,FREQ:729;
粉身碎骨,FREQ:728;
上天入地,FREQ:728;
原来如此,FREQ:728;
好事多磨,FREQ:727;
锱铢必较,FREQ:726;
伤天害理,FREQ:726;
惹是生非,FREQ:726;
钻牛角尖,FREQ:726;
背信弃义,FREQ:726;
白头偕老,FREQ:725;
赤膊上阵,FREQ:725;
成双成对,FREQ:725;
大义灭亲,FREQ:723;
发财致富,FREQ:723;
寄人篱下,FREQ:721;
各色人等,FREQ:721;
一路平安,FREQ:721;
滴水穿石,FREQ:721;
大有文章,FREQ:721;
死而后已,FREQ:721;
源源不绝,FREQ:720;
过从甚密,FREQ:720;
日以继夜,FREQ:719;
求全责备,FREQ:719;
寸步不让,FREQ:718;
投石问路,FREQ:718;
根深叶茂,FREQ:718;
灭绝人性,FREQ:718;
功成身退,FREQ:717;
如雷贯耳,FREQ:717;
舍己为人,FREQ:717;
焕发青春,FREQ:717;
骨肉分离,FREQ:716;
穷乡僻壤,FREQ:715;
普天同庆,FREQ:714;
马马虎虎,FREQ:714;
旁敲侧击,FREQ:713;
先见之明,FREQ:713;
倒打一耙,FREQ:712;
谈天说地,FREQ:711;
无事生非,FREQ:711;
利益均沾,FREQ:711;
骄傲自满,FREQ:709;
力争上游,FREQ:709;
心如刀绞,FREQ:709;
拖泥带水,FREQ:709;
离经叛道,FREQ:709;
吃哑巴亏,FREQ:709;
用之不竭,FREQ:709;
奇装异服,FREQ:708;
春回大地,FREQ:708;
插科打诨,FREQ:708;
推己及人,FREQ:707;
将计就计,FREQ:706;
无可置疑,FREQ:706;
强人所难,FREQ:706;
分文不取,FREQ:706;
引狼入室,FREQ:706;
心狠手辣,FREQ:706;
若即若离,FREQ:706;
不分彼此,FREQ:705;
